,0
10347,대중적이고 기본적인 소스코드로 쉽게 따라 하며 학습할 수 있도록 구성해 이해를 돕는다
10348,이 책에서 다루는 내용
10349,AOP 트랜잭션 관리 작업 스케줄링 및 스크립팅과 같은 스프링 프레임워크
10350,스프링 및 스프링 부트로 레스트 API 및 마이크로서비스 구축
10351,스프링 시큐리티를 사용해 안전한 레스트 API 개발
10352,최초의 풀스택 리액트 애플리케이션 구축
10353,스프링 및 스프링 부트로 효율적인 단위 테스트 작성
10354,스프링 부트가 제공하는 애플리케이션 개발 및 모니터링을 위한 고급 기능 이해
10355,스프링 클라우드를 사용해 애플리케이션을 클라우드에 배포 및 관리
10356,이 책의 대상 독자
10357,스프링 프레임워크에 기본 지식이 있는 숙련된 자바 개발자를 대상으로 한다
10358,스프링 프레임워크 스프링 부트 스프링 클라우드 스프링 데이터 스프링 리액티브 스프링 시큐리티 스프링 테스트와 같은 다양한 스프링 프로젝트를 자세히 설명한다
10359,스프링 프레임워크를 사용해 훌륭한 레스트 API 마이크로서비스 풀스택 애플리케이션 및 클라우드 네이티브 애플리케이션을 개발하고 단위 테스트한다
10360,이 책은 컴퓨터 비전 기초 이론을 비롯해 OpenCV에서 가장 많이 활용되는 기능들을 설명하고 이미지 데이터에서 유의미한 정보를 찾는 방식을 다룹니다
10361,또한 C 과 파이썬이라는 두 가지 프로그래밍 언어로 구성돼 있어 C 이나 파이썬 개발자분들이 손쉽게 OpenCV에 대해 배울 수 있는 영상처리 입문서입니다
10362,이 책에서는 OpenCV를 폭넓게 활용할 수 있도록 Tesseract OCR과 텐서플로우 등을 활용해 영상 처리 프로젝트까지 진행하고 다양한 응용 방법을 제시합니다
10363,처음 시작하는 분들을 위한 기초 이론을 기술하고 있습니다
10364,본 도서는 시네마 D를 처음 시작하는 부분들을 위한 도서로써 시네마 D 및 D 애니메이션에 대해 이해할 수 있도록 쉬운 설명과 예제를 포함하였습니다
10365,시네마 D의 대부분의 주요 기능을 익힐 수 있습니다
10366,시네마 D를 설치하는 방법부터 시네마 D의 주요 기능에 대해 빠짐없이 설명하고 있으며 기능에 대한 원리적인 이해를 돕기 위해 노력했습니다
10367,예제를 통해 심층적인 학습을 할 수 있도록 구성되어 있습니다
10368,본 도서는 시네마 D에 대한 기초 이론적인 설명에 이어 예제를 통해 보다 심층적으로 시네마 D를 이해할 수 있도록 구성하였습니다
10369,배운 즉시 실무에 곧바로 활용할 수 있습니다
10370,단순히 학습을 위한 매뉴얼적인 내용이 아니라 배우면 곧바로 실무에 활용할 수 있는 보편적이면서도 실용적인 예제에 중점을 두었습니다
10371,강의식으로 설명된 내용은 보다 쉽고 친숙하게 합니다
10372,본 도서는 기존의 딱딱한 느낌의 매뉴얼 방식의 설명에서 벗어나 보다 쉽고 친숙하게 다가갈 수 있도록 모든 설명을 강의식으로 구성하였습니다
10373,부록 바디페인트 기초 PDF파일 제공
10374,일러스트레이터 CC 버전 출시에 맞춰 새롭게 선보이는 일러스트레이터 CC 무작정 따라하기 는 어도비만의 직관적인 색상 적용과 편리한 문자 정렬 등 작업자의 편의를 높이는 신기능들을 제공하고 있다
10375,이 책에서는 단 한 권으로 쉽고 빠르게 일러스트레이터를 배울 수 있도록 핵심 기능과 실무 따라하기 예제를 연계하여 구성하였다
10376,체계적이고 효율적인 학습을 위해 우선순위 TOP 핵심 키워드 신기능 amp 중요 학습 계획 코너를 제공하며 학습 시 궁금한 점은 왜 Why 길벗 독자지원센터 를 통해 바로 해결할 수 있다
10377,동영상으로 배우는 혼자 해 보기 는 학습한 부분을 최종적으로 확인할 수 있게 도와주며 신기능을 빠르게 학습할 수 있도록 신기능 별책부록을 제공하고 있다
10378,효울적 학습 계획으로 필수 기능을 공략하고 기본 기능과 실무 예제를 무작정 따라한 후 심화 학습으로 기초를 탄탄히 쌓으면 일러스트레이터를 제대로 활용할 수 있다
10379,이 책은 아마존 웹 서비스 아마존 웹 Services 를 이용하여 클라우드 인프라 관리 및 데브옵스 DevOps 도입과 구현을 원하는 사람들에게 적합한 책이다
10380,데브옵스 DevOps 의 역사와 기원 기대 효과와 구성 요소 성공 사례를 통해 이해하고 관련 지식을 습득하고자 하는 사람들에게 유용한 정보를 안내하고 있다
10381,총 장으로 구성되어 있는데 장에서는 DevOps의 역사 목표와 기대 효과 등 문화적 기술적 구성 요소에 대한 지식과 함께 Netflix Facebook Amazon에서의 성공적인 적용 사례를 통해 기본적인 내용을 알 수 있다
10382,장에서는 DevOps의 중요한 기술적 구성 요소인 IaC Infrastructure as a 코드 기술인 아마존 Cloudformation 아마존 OpsWork를 배우며 서버리스 Serverless 컴퓨팅 기술인 아마존 Lambda와 클라우드 인프라의 모니터링을 위한 아마존 CloudWatch에 대한 설명과 실습을 통해 따라해보며 다양한 수행 사례를 배울 수 있다
10383,마지막 장에서는 DevOps를 위한 개발 Toolkits인 아마존 클라우드 아마존 CodeCommit 아마존 CodeBuild 아마존 CodeDeploy 아마존 CodePipeline에 대해 설명하여 아마존 기반의 DevOps 수행을 위한 기술적 지식과 웹 기반 개발 툴의 활용 방법 소스코드 빌드 및 배포의 자동화와 파이프라인 관리를 통한 다양한 자동화 배포 시나리오에 대한 경험과 지식을 알 수 있을 것이다
10384,이 책을 따라하며 실습에 필요한 소스 코드는 정보문화사 홈페이지 infopub
10385,kr 자료실에서 다운로드 가능하며 학습 중 궁금한 사항은 저자 블로그 blog
10386,com saga 에서 질의응답 가능하다
10387,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
10388,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
10389,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
10390,초등학생 장래희망 Top 유튜브 크리에이터
10391,혼자서도 척척
10392,초등학생을 위한 유튜브 크리에이터 무작정 따라하기
10393,유튜브 보지만 말고 직접 만들어 봐요
10394,혼자 할 수 있어요 어린이가 스스로 만드는 키즈 유튜브
10395,나만의 유튜브 채널로 유튜브 스타가 되어 보세요
10396,하루가 멀다 하고 새롭게 등장하는 IT 용어
10397,모든 것을 외우는 것은 힘든 일이며 같은 의미의 용어나 같은 철자의 약어도 많아 혼란스럽다
10398,다만 기술의 발전에 수반해서 생겨난 용어가 대부분이므로 이 책에서 소개하는 엄선 용어를 짚고 넘어가면 앞으로 나올 최신 용어도 쉽게 이해할 수 있다
10399,이 책에서는 용어별로 연상되는 이미지의 일러스트와 용어 관련 이야기 용어 사용 예 등을 게재하여 다양한 각도에서 설명하고 있다
10400,따라서 암기와는 달리 재미있게 외우고 줄줄이사탕식으로 지식을 떠올릴 수 있게 된다
10401,헷갈리는 용어의 사용법과 관련 용어 지식을 익혀 IT의 전체상을 파악하자
10402,이런 사람에게 추천합니다
10403,ㆍ 처음 듣는 IT 용어를 따라가지 못해 곤란한 사람
10404,ㆍ VR과 AR 등 비슷비슷한 IT 용어의 차이를 알고 싶은 사람
10405,ㆍ 거래처와 후배에게 IT 용어를 쉽게 설명하고 싶은 사람
10406,ㆍ 최신 IT 용어를 배우고 싶은 사람
10407,일 잘하는 직장인의 비대면 현장 밀착형 업무 노하우
10408,구글을 이용한 오피스 업무 화상 회의부터
10409,교육 amp 평가 일정 관리 데이터 동기화까지
10410,코로나 확산에 대비하여 비대면으로 업무를 보는 직장인이 늘어나고 있으며 국내 기업들의 재택근무 도입으로 근무의 효율성과 의사소통의 중요성이 점점 커지고 있다
10411,뿐만 아니라 재택근무자의 관리와 평가 재택근무를 위한 프로그램 구입 등도 해결해야 할 문제이다
10412,구글에서는 이러한 문제들을 해결하기 위해 무료로 다양한 구글 앱을 제공하고 있다
10413,이 책에서는 엑셀과 파워포인트 워드와 호환하여 각종 문서와 보고서 서식 프레젠테이션 작업을 장소에 상관없이 작업할 수 있는 구글 오피스 활용 방법을 알려주고 있다
10414,또한 화상 회의를 위한 구글 미트 비대면으로 정보를 수집하거나 마케팅을 할 수 있는 구글 설문 기능 직장인 교육과 평가 피드백을 위한 구글 클래스룸 업무 일정 관리와 공유를 위한 다양한 앱들을 업무 환경에 맞게 바로 사용할 수 있도록 소개하고 있다
10415,또한 구글 드라이브를 이용하여 대용량 문서도 자유롭게 내용을 공유할 수 있다
10416,이처럼 활용도가 높은 구글 앱의 기능을 한눈에 파악할 수 있도록 간단하고 쉬운 편집으로 누구나 따라하기 쉽게 소개한 것이 가장 큰 특징이다
10417,이 책에서 환경이 변해도 업무에 지치지 않도록 구글 앱을 실무에 활용하여 작업 시간을 확 줄이고 업무 성과는 높이는 노하우를 배울 수 있을 것이다
10418,한국소프트웨어융합진흥협회 추천도서
10419,컴퓨터과학의 중요성이 부각되면서 컴퓨터 알고리즘을 초 중 고등학생들이 배워야 하는 시대가 왔다
10420,이 책은 주로 초등학생 학년과 중학생 학습자도 이해할 수 있도록 굉장히 흥미롭고 재미있는 예제를 개발하여 집필하였고 그 외 고등학생 대학생 소프트웨어 및 알고리즘 교재로도 적합하도록 학습내용을 깊이 있게 다루었다
10421,초등학생뿐만 아니라 중학생 고등학생 대학생 알고리즘 학습교재로도 적합하며 쉽게 알고리즘을 배우고 싶은 성인도 학습할 수 있다
10422,이 책의 가장 큰 특징은 학습자가 스스로 학습할 수 있도록 컴퓨터적인 어려운 용어를 최대한 줄여 쉽게 알고리즘을 공부할 수 있고 교수자 관점에서 다양한 교육환경에서 더욱 편하게 강의할 수 있도록 수준별로 다양한 예제와 학습준비에 필요한 자료를 제공한다
10423,기존에 다양한 알고리즘 책들이 많이 나와 있지만 내용이 학문적이고 어렵다
10424,이 책은 초등학생뿐만 아니라 컴퓨터 비전공자 컴퓨터 알고리즘 입문자도 쉽고 재미있게 공부할 수 있도록 학습 설계하여 구성하였다
10425,현재 우리는 모바일과 떼려야 뗄 수 없는 관계다
10426,년에는 국내 모바일 데이터 통신 사용량이 TB를 돌파해 년 전보다 배 이상 늘어난 것으로 집계됐다
10427,올해 들어서는 코로나 로 인해 전 세계 모바일 앱 사용 시간도 대폭 증가한 것으로 나타났다
10428,국내 모바일 앱의 하루 평균 사용 시간은
10429,시간으로 미국 중국을 포함한 개 조사 대상국 중 위를 기록했다
10430,모바일을 중심으로 하는 인터넷 서비스는 크게 모바일 웹과 모바일 앱으로 나뉜다
10431,각각 장단점이 있다
10432,웹은 앱보다 접근성이 좋다
10433,앱은 사용자가 스토어에서 다운로드하고 설치해야만 비로소 이용할 수 있지만 웹은 URL만 있으면 바로 접속해 사용할 수 있다
10434,반면 앱은 웹보다 사용성이 좋다
10435,앱은 웹에서 제공하지 못하는 매끄러운 사용자 경험을 갖추고 있으며 사용자가 앱을 사용하고 있지 않을 때도 푸시 알림을 보내 필요한 정보를 먼저 제공하고 재사용을 유도할 수 있다
10436,그렇다면 서로가 가진 장점을 모두 활용할 수는 없을까
10437,본질은 웹 이다
10438,프로그레시브 웹 앱 Progressive 웹 Apps 이하 PWA 은 웹과 앱의 장점을 모두 가지고 있다
10439,하지만 본질은 웹 이다
10440,PWA는 네이티브 모바일 앱에 가까운 경험을 제공하는 웹을 목표로 한다
10441,PWA는 서비스 워커 서비스 Worker API를 활용해 웹 앱의 중요한 부분을 캐싱하고 사용자가 다음에 다시 사이트를 열 때 즉시 로딩한다
10442,따라서 네트워크 환경이 좋지 않아도 빠르고 안정적으로 구동하며 앱처럼 사용자에게 푸시 알림을 보낼 수도 있다
10443,점진적 향상
10444,PWA는 기존 웹사이트에 점진적 향상 방식으로 도입할 수 있다
10445,최신 웹 브라우저 사용자에게는 최신 기술을 이용한 미려한 사용자 경험을 제공할 수 있으며 낡은 웹 브라우저를 쓰는 사용자는 기존 웹사이트의 혜택을 그대로 누릴 수 있다
10446,또 사용자가 느린 통신 회선을 사용하고 있거나 오프라인 상태일 때도 웹사이트를 이용할 수 있도록 해 접근성을 극대화할 수 있다
10447,즉 PWA를 적용한다면 잃을 것보다 얻을 것이 많은 셈이다
10448,그 중심에 서비스 워커 가 있다
10449,PWA의 기본 요소는 HTTPS 서비스 워커 웹 앱 매니페스트 웹 앱 Manifest 다
10450,보안을 책임지는 HTTPS 자바스크립트로 브라우저의 요청을 제어하는 서비스 워커 웹사이트를 앱으로 배포할 수 있도록 하는 웹 앱 매니페스트
10451,그중에서도 서비스 워커는 PWA의 지향점인 안정적이고 빠르며 오프라인에서도 작동하는 웹페이지를 만들어내는 강력한 신기술이다
10452,웹의 새로운 르네상스를 향해
10453,PWA는 누구나 빠르고 몰입감 높은 경험을 누릴 수 있는 새 시대를 열고 있다
10454,모바일은 공간이 한정적이고 네트워크 환경에 쉽게 흔들린다
10455,서비스 워커를 이용하면 데이터를 오프라인 캐시에 저장해둘 수 있고 네트워크에서 가져와야 하는 데이터의 양을 최소화할 수 있다
10456,네트워크 환경이 열악한 제 세계에서도 풍부하고 빠르고 강력한 사용자 경험을 구현할 수 있다
10457,PWA는 운영체제 디바이스 지역에 관계 없이 누구나 사용할 수 있는 모두의 웹이다
10458,자바는 발표된 지 년이 지났지만 시대의 변화에 맞춰 계속 새로운 기능을 도입하며 발전하고 있다
10459,특히 자바 이후 버전에서는 기존에는 없던 새로운 개념과 기능을 대거 도입했다
10460,하지만 자바 개발자들은 여전히 자바 시절의 개발 지식에 머물러 있는 경우가 많다
10461,이 책은 자바 이후 도입된 새로운 기능을 쉽게 풀어 설명한다
10462,각 버전별로 추가된 기능을 정리하고 각 기능의 도입 배경과 개념 활용법 기능 간의 관계 등을 자세히 다룬다
10463,실무에서 경험할 수 있는 다양한 상황을 예로 들어 자바의 새로운 기능이 어떤 편리함을 제공할 수 있는지 보여준다
10464,예제는 최신 LTS 버전인 JDK 을 기준으로 하고 있어 바로 적용하기에 무리가 없다
10465,데이터베이스를 처음 공부하는 학생에게는 가장 기본적인 지식을 제공하고 소프트웨어 개발자에게는 데이터베이스의 구조와 작동 원리를 일주일 내외로 익혀 현장에서 바로 응용할 수 있도록 해주는 최소한의 레퍼런스북이 필요하다
10466,본서는 용어의 사용을 최소화하는 대신 직접 DB와 테이블을 만들고 그 안에 자료를 넣고 빼는 과정을 따라하면서 자연스럽게 데이터베이스의 개념과 활용 능력을 키울 수 있도록 구성하고 있다
10467,데이터 시각화의 기본 원리를 이해하고 실무에 바로 활용할 수 있는 예제를 실습할 수 있도록 구성했다
10468,어떤 그래프는 성공적인 반면에 다른 그래프는 이상하게 보이는 이유를 알려주고 데이터로부터 고품질 차트를 만드는 방법을 직접 재현해 볼 수 있도록 했으며 자료의 왜곡 없이 효과적인 방식으로 데이터 시각화에 대해 생각하는 방법을 설명한다
10469,또한 R 프로그래밍 언어와 R을 위한 시각화 라이브러리인 ggplot 를 전문적으로 다룰 수 있도록 알려주며 일련의 시각화 사례를 통해 단일 변수 요약부터 시작해 복잡한 그래프로 발전시켜 나가는 방법을 단계별로 보여준다
10470,효과적인 그래픽은 아이디어를 전달하거나 데이터를 더 잘 이해하기 위한 좋은 방법이다
10471,이 책은 학생부터 연구자까지 실무에서 데이터를 시각화하고 연구 결과를 최대한 활용하는 데 필요한 실용적인 기술을 제공한다
10472,이 책만큼 하드웨어 기반의 프로그래밍 구조와 작동 원리에 대해 체계적으로 설명한 책은 없다
10473,최근 코딩 교육에 대한 관심이 뜨겁다
10474,선진국들은 이미 코딩을 정규 교육과정에 편입시켜 교육 중이며 우리나라도 전국 초 중 고교에서 소프트웨어 교육을 의무화하고 있다
10475,간단한 퍼즐이나 블록 맞추기 등을 비롯해 파이썬 자바 C와 같은 소프트웨어 관련 교육을 받고 있다
10476,그러나 이에 앞서 소프트웨어 교육 효과를 극대화하기 위해서는 프로그래밍 교육과 함께 소프트웨어가 실행되는 컴퓨터 시스템 자체를 이해할 수 있는 동작 원리를 이해하고 프로그램이 컴퓨터상에서 실행되는 과정을 이해하는 것이 효과적인 소프트웨어의 첫걸음이다
10477,이 책은 프로그래밍을 시작하고 싶어하는 사람과 프로그램 능력을 키우고 싶어하는 프로그래머 및 컴퓨터 사용자를 위해 하드웨어의 구조 및 프로그램이 작동하는 원리를 장에 나누어 설명하고 있다
10478,알기 쉬운 대화형 해설과 풍부한 사진 자료 및 실제 코딩 소스를 통해 자연스럽게 따라할 수 있도록 구성하였다
10479,또한 부록에는 에뮬레이터 EE 의 조작 설명은 물론 본문에서 다룬 보충 설명을 정리하여 구성하였다
10480,종래의 컴퓨터공학 개론 강의는 세 가지 유형 즉 특정 언어를 실습하는 프로그래밍 입문 과정 컴퓨터공학과의 각 전공 내용을 조금씩 다루는 과정 MS 오피스 프로그램을 주로 다루는 과정으로 구분된다
10481,이 책은 컴퓨터공학 개론 과목의 성격에 가장 부합하는 책으로 비트 수준의 기본 로직부터 시피유 구조와 명령 아키텍처 운영 체제와 어셈블러 고급 언어의 컴파일 과정 등과 같은 다양한 주제를 알기 쉽게 다루고 있으며 자기증식 프로그램 자살 프로그램 등의 흥미 있는 주제까지 아우른다
10482,또한 저자가 직접 개발한 에뮬레이터를 이용해 직접 실습하면서 원리를 깨우칠 수 있다
10483,이 책을 공부하는 데 필요한 자료는 저자의 깃허브 깃허브 에 공개하고 있으며 강의를 위한 실습 자료 또는 독학을 위한 유용한 자료가 될 것이다
10484,급변하는 IT 환경과 차 산업 시대를 맞이하면서 인공지능을 이용한 업무 자동화는 거스를 수 없는 대세로 자리 잡고 있습니다
10485,이와 함께 세계적으로 재택근무와 언택트 환경이 요구되면서 더욱더 효율적으로 업무를 할 필요성이 대두되고 있는 상황에서 RPA Robotic Process Automation 로보틱 처리 자동화 는 모범 답안을 우리에게 제시하고 있습니다
10486,로봇 노동자 또는 디지털 노동자로 불리는 RPA Robotic Process Automation 로보틱 처리 자동화 는 기존에 사람이 하던 업무를 대신하여 단순하고 반복적인 일을 시간 쉬지 않고 실행하며 복잡한 업무라도 실수를 하지 않습니다
10487,앞선 장점과 함께 짧은 프로젝트 셋업 기간과 합리적인 비용으로 금융기관과 산업계를 시작으로 우리나라에서도 RPA 솔루션을 도입하는 기업들이 점차 늘어가고 있습니다
10488,단순하고 반복적인 업무를 RPA에게 맡기고 임직원들은 더욱 창의적인 업무를 하게 되면서 RPA를 도입한 기업과 그렇지 않은 기업의 업무 효율성 격차는 점차 벌어질 것으로 예상됩니다
10489,이 책은 이러한 RPA가 무엇인지 자세히 알아보고 대표적인 RPA 솔루션인 Automation Anywhere를 이용한 실무 사례를 기초부터 응용까지 따라하기 형태로 소개하고 있습니다
10490,예제 완성 파일 다운로드
10491,영진닷컴 홈페이지 www
10492,youngjin
10493,com 고객센터 부록 CD 다운로드 IT도서 교재 에서 도서명 검색 후 다운로드
10494,고도화된 디지털 마케팅이라도 고객의 행동을 관찰하고 니즈를 파악하는 일은 여전히 중요하다
10495,보이지 않는 고객의 행동과 성과를 마치 두 눈으로 관찰하듯 디지털 마케팅에서 데이터 분석과 이를 활용한 마케팅 전략 수립은 이제 모든 마케터에게 필요한 필수 역량이다
10496,따라서 모든 마케터는 고객의 행동을 데이터화하고 이를 읽을 수 있는 도구를 자유롭게 사용할 수 있어야 한다
10497,그 중 가장 대표적인 도구가 구글 애널리틱스이며 데이터가 가장 큰 무기가 되는 광고 플랫폼이 바로 페이스북이다
10498,페이스북 광고는 현재 디지털 광고 시장에서 가장 고도화된 광고 플랫폼이다
10499,페이스북 광고 테크닉을 조금만 알게 된다면 페이스북에서 성과를 내는 것은 시간 문제다
10500,하지만 많은 대행사나 마케터들이 페이스북 페이지 좋아요 숫자에만 관심을 가지고 있는 것에 안타까움을 느꼈다
10501,단순히 여러 책을 엮은 내용이 아닌 현장에서 페이스북 마케팅 세일즈에 고충을 겪는 클라이언트의 프로젝트 진행을 통한 경험을 정리하여 집필했다
10502,가장 혁신적인 생성적 적대 신경망 GAN 을 구축하는 방법을 사례와 함께 안내한다
10503,GAN의 개념과 학술적 성과를 소개하되 수학적 원리는 꼭 필요한 것만 골라서 설명한다
10504,머신러닝과 딥러닝을 다뤄본 경험이 있는 독자는 GAN의 기초부터 심화까지 한 번에 살펴본 후 GAN 생성에 꼭 필요한 지식을 갖추고 도구를 다루는 방법도 익히게 될 것이다
10505,구글 코랩을 활용해 텐서플로
10506,x와 케라스로 나만의 GAN을 만들어보자
10507,GAN의 작동 원리와 생성자 판별자 이해하기
10508,오토인코더와 GAN으로 손글씨 숫자 생성하기
10509,CNN과 DCGAN으로 GAN을 구현하고 배치 정규화 이해하기
10510,ProGAN으로 고해상도 이미지 생성하기
10511,준지도 학습에서 활용하는 SGAN 이해하기
10512,CGAN으로 원하는 손글씨 숫자 이미지 생성하기
10513,CycleGAN으로 사과를 오렌지로 오렌지를 사과로 바꿔보기
10514,GAN 훈련의 어려움을 이해하고 실제 이미지와 잡음으로 적대 샘플 생성하기
10515,의료 패션 분야에서 GAN의 활용 방법과 사례 살펴보기
10516,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
10517,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
10518,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
10519,년 대한민국학술원 우수학술도서 선정도서
10520,디지털 트랜스포메이션을 추구하는 기업이 빅데이터 가치 실현에 필요한 기업 내 단일 저장소인 데이터 레이크 를 구축할 수 있도록 안내하는 실전서이다
10521,데이터에 대한 이해부터 아키텍처 구축에 필요한 코드까지 모든 과정을 망라해 데이터 레이크 구축에 어려움을 겪는 기업에게 이정표가 될 것이다
10522,이 책에서 다루는 내용
10523,적절한 빅데이터 기술을 사용해 엔터프라이즈급 데이터 레이크 구축
10524,람다 아키텍처의 핵심과 엔터프라이즈 환경에 적용하는 방법 이해
10525,아파치 스쿱 Sqoop 과 그 기능에 대한 기술적 세부 사항
10526,카프카 Kafka 와 하둡 구성요소를 통합해 엔터프라이즈 데이터 획득
10527,스트림 기반 처리를 위한 스트리밍 기술과 플룸 사용 방법 학습
10528,아파치 플링크 Flink 의 스트림 기반 처리에 대한 이해
10529,하둡 구성 요소 통합 방법과 엔터프라이즈 환경의 데이터 레이크에 제공할 수 있는 장점
10530,일래스틱 스택 Elastic Stack 을 사용해 고성능 스트리밍 애플리케이션을 빠르게 구축
10531,설정으로 다양한 유형의 데이터 포맷을 데이터 획득 과정에서 일관되게 처리하는 방법
10532,이 책의 대상 독자
10533,기업에서 엔터프라이즈급 데이터 레이크를 구현하고자 하는 자바 개발자나 설계자
10534,람다 아키텍처와 빅데이터 기술에 대한 실제 경험을 얻으려는 자바 개발자
10535,빅데이터의 세계를 발견하고 해당 기술을 사용해 실용적인 솔루션을 구현하고자 하는 자바 개발자
10536,년 이세돌과의 바둑 대결에서 인공지능 알파고의 승리에 전 세계가 깜짝 놀랐습니다
10537,인공지능은 다시 한 번 사람들의 뜨거운 관심을 받았지요
10538,이미 인공지능은 우리 일상생활의 일부가 되었습니다
10539,세탁기와 냉장고 등 가전제품에 인공지능이 탑재되었고 스스로 운전하는 자율 주행차가 완성될 날이 머지않았습니다
10540,많은 사람들이 미래는 인공지능의 시대가 될 것이라고 말합니다
10541,그런데 인공지능이란 정확히 무엇일까요 우리는 인공지능으로 무슨 일을 할 수 있을까요 인공지능을 활용하면서 무엇을 조심해야 할까요 혹시 영화처럼 인공지능이 사람을 지배하지는 않을까요
10542,인공지능 상식 사전 은 인공지능에 대한 궁금증을 속 시원히 풀어 줍니다
10543,인공지능의 개념과 역사 인공지능을 발전시킨 다양한 방법들 최근 혁신을 일으킨 기계학습과 딥러닝의 원리 인공지능이 가져올 미래의 변화 등 인공지능에 대한 모든 것을 쉽고 분명하게 알려 주지요
10544,차 산업혁명 시대를 살아가야 할 모든 어린이들에게 이 책을 추천합니다
10545,객체지향 프로그래밍 설계 원칙 패턴을 알면 개발이 보인다
10546,디자인 패턴은 어느 날 갑자기 생겨난 방식이 아니다
10547,객체지향 개발 과정에서 겪는 다양한 이슈를 종합해보면 서로 비슷한 유형의 문제다
10548,개발자들은 서로 자신의 경험을 바탕으로 문제를 해결해나갔다
10549,GoF는 객체지향 설계 시 발생하는 문제점을 목록화하여 가지 패턴으로 정리한다
10550,이 책은 디자인 패턴의 개념과 동작 원리를 설명한다
10551,각 장을 가지 패턴으로 구성하였으며 누구나 이해할 수 있는 쉬운 예제와 눈높이를 낮춘 설명은 디자인 패턴을 배우고 학습하는 데 유용하다
10552,객체지향을 이해하고 프레임워크를 학습하려는 개발자에게 유익한 가이드가 될 것이다
10553,이 책에서 다루는 내용
10554,쉬운 예제로 설명하는 가지 디자인 패턴
10555,유지보수를 고려한 설계 방법론
10556,최고의 성능을 위한 개발 방법론
10557,이 책은 프론트엔드 자바스크립트 프레임워크 뷰
10558,js를 빠르게 배우고 현업에 적용하고자 하는 개발자 혹은 프론트엔드 입문자를 위한 책이다
10559,여 개의 예제와 각 장마다 실습문제를 제공하고 있으며 마지막 장에는 제이슨 기반 게시판 프로젝트를 진행해봄으로써 뷰
10560,js로 웬만한 프론트엔드 프로그램을 디자인할 수 있는 역량을 가질 수 있을 것이다
10561,샘플원고 www
10562,roadbook
10563,자바스크립트 프레임워크 Vue를 빠르게 배우고 실무에 적용하고자 하는 개발자
10564,프론트엔드 자바스크립트 프레임워크를 배우고자 하는 프론트엔드 입문자
10565,이론보다는 예제 중심의 R 프로그래밍 학습서로 최신의 내용 R ver
10566,으로 개정하여 다음 내용을 제공합니다
10567,자료분석과 전처리 통계분석 기계학습
10568,자료구조 유형 분석과 다양한 형태의 데이터 입출력 방법
10569,탐색적 데이터 분석을 위한 시각화 방법
10570,데이터 전처리와 파생변수 생성 방법
10571,정형 데이터와 비정형 데이터 처리 방법
10572,기술통계와 추론통계분석 방법
10573,지도학습과 비지도학습에 의한 기계학습 방법
10574,인공신경망 알고리즘을 적용한 예측분석 방법
10575,시계열 데이터를 이용한 시계열 모형 생성 방법
10576,년 대한민국학술원 우수학술도서 선정
10577,현재 추천 알고리즘으로 가장 널리 사용되는 협업 필터링 Collaborative Filtering CF
10578,행렬 요인화 Matrix Factorization MF 딥러닝 딥 러닝 DL 알고리즘의 작동원리와 Python을 사용한 개인화 추천 시스템 구축을 다루고 있다
10579,추천 시스템의 기본적인 원리를 이해하는 데 활용할 수 있다
10580,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
10581,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
10582,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
10583,문과를 졸업한 IT 비전공자였던 필자가 소프트웨어에 매력을 느껴 계란으로 바위 치듯이 좌충우돌 하면서 프로그래밍의 세계로 뛰어들어 온몸으로 터득한 체험을 바탕으로 IT 세계로 진입하기 위한 독자들을 위해 현존하는 프로그래밍 언어 중 가장 효율적이라고 할 수 있는 파이썬을 이용하여 프로그래밍 방법을 제대로 익힐 수 있도록 새로운 각도에서 쓴 코딩 교재
10584,파이썬은 구글과 같은 글로벌 기업에서 많이 사용하고 있는 언어로 빅 데이터 사물 인터넷 IoT 인공지능과 같은 최신 기술 및 금융 바이오 등 컴퓨터 분야 이외에 다양한 분야에서도 가장 많이 사용된는 언어이다
10585,다른 언어보다 프로그램을 빨리 만들 수 있기 때문에 스타트업이나 글로벌 기업에서도 파이썬으로 작업을 많이 하고 있으며 미국 영국을 포함한 선진국들도 프로그래밍을 교육할 때 C언어보다 파이썬을 많이 이용하는 추세이다
10586,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
10587,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
10588,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
10589,소프트웨어와 소프트웨어를 만든 사람
10590,그리고 그것이 창조해낸 세계에 관한 유일무이한 관찰
10591,세기 디지털 문화를 다룬 문학의 클래식
10592,뉴욕 타임스 북 리뷰
